business_id,name,address,latitude,longitude,stars,price
pFMGXlE1NwEXYPBgw3kRnA,Southern Inn,5741 Woodland Ave,39.9326866,-75.2245579,4.0,$
cdZf-iYQRy5D18gTM95aew,The Bellevue Hotel,200 S Broad St,39.9491188,-75.1648441,3.5,$$$
_BTdfZLpjdkdXwA-JuLwhw,The Conwell Inn,1331 Pollet Walk,39.981812,-75.15764,3.5,$$
mKJZREPhvsVgHebHK8dFew,The Dwight D,256 S 16th St,39.9479893,-75.1682766,4.5,$$
M4y3CIkX3uG9HPN4ZNqD_g,The Franklin Residences,834 Chestnut St,39.9493831,-75.1551309,5.0,$$$
4hM6GbEq5Jt-YZ0vRN1-Lw,The Gables,4520 Chester Ave,39.9468926,-75.2121474,5.0,Unknown price
bjkA3ustWdg3EsTLRiUNKA,"The Inn at Penn, a Hilton Hotel",3600 Sansom St,39.9537829039,-75.1957815881,4.0,$$$
FppJo5aymUsfOg68uTOipw,The Inn at The Union League,1450 Sansom,39.9502330538,-75.1651874081,3.5,$$$
CFlW9bfl4N63fZpQsZIkRQ,"The Logan Philadelphia, Curio Collection by Hilton",1 Logan Sq,39.9569323,-75.1702705,3.5,$$$
xTCSNzu7387VHOPO7DkEzA,"The Notary Hotel, Autograph Collection",21 N Juniper St,39.9530827357,-75.1621869785,3.5,$$$
55gCXlWDDCdttR3yRss1xw,The Rittenhouse Hotel,210 W Rittenhouse Sq,39.9499125,-75.1736448,4.0,$$$
dvph41fD_t6Kd_ChSpmNSA,"The Ritz-Carlton, Philadelphia",10 Avenue of the Arts,39.9514456414,-75.1641494036,3.5,$$$
fUntC7lbyc2VR3np-29D4g,The Spa at The Logan,1 Logan Square,39.956853,-75.169558,4.0,Unknown price
NK0_YatQwVmIFJJyrdNNpQ,The Study at University City,20 S 33rd St,39.9544058,-75.1900591,4.0,$$
6gdAMPGsK0D_3u8h3A8H2A,The Warwick Hotel Rittenhouse Square,220 S 17th St,39.9486999512,-75.1694030762,3.0,$$$
VJpuuNZ8QXR2zTHIhB0yhw,The Westin Philadelphia,99 South 17th Street at Liberty Place,39.951929,-75.168421,3.0,$$
HsBN0LiWQnbcltRIOWOslg,The Windsor Suites,1700 Benjamin Franklin Pkwy,39.9557404,-75.1683553,3.5,$$
YrbQ_OrRo-TYHnVw5y4Kew,Thomas Bond House,129 S 2nd St,39.9474906,-75.1440147,4.5,Unknown price
S2ljhPVQb8wxIN98j0Stcw,Tokio Sushi Bistro & Bed & Breakfast,124 Lombard St,39.9419748,-75.1448595,2.5,Unknown price
hh6t95hiS-RqRt6bEz1SPw,Union League of Philadelphia,140 S Broad St,39.949988,-75.1645963,4.0,Unknown price
TZhCpOoo4TIg7dgftWNKyQ,W Philadelphia,1439 Chestnut St,39.9515202,-75.1650621,3.5,$$$
lQwSrnzTxhssWHRGyq5rvQ,Wyndham Philadelphia Historic District,400 Arch St,39.9520404,-75.147515,2.5,$$
